id,object_a,object_b,aspect,sentence,most_frequent_label
284-16,nan,the D50,Commander mode,"Commander mode is more sophisticated too , meaning you can control more flashes as well as have the built-in flash contribute ( not the case with D70s and the D50 nor with the D40/40x as far as I know ) .",better
284-16,the D50,nan,Commander mode,"Commander mode is more sophisticated too , meaning you can control more flashes as well as have the built-in flash contribute ( not the case with D70s and the D50 nor with the D40/40x as far as I know ) .",worse
284-16,nan,the D40/40x,Commander mode,"Commander mode is more sophisticated too , meaning you can control more flashes as well as have the built-in flash contribute ( not the case with D70s and the D50 nor with the D40/40x as far as I know ) .",better
284-16,the D40/40x,nan,Commander mode,"Commander mode is more sophisticated too , meaning you can control more flashes as well as have the built-in flash contribute ( not the case with D70s and the D50 nor with the D40/40x as far as I know ) .",worse
284-18,The D200,nan,this respect,"The D200 is similarly good in this respect though the D80 seems even better , subjectively .",same
284-18,nan,The D200,this respect,"The D200 is similarly good in this respect though the D80 seems even better , subjectively .",same
284-18,the D80,nan,nan,"The D200 is similarly good in this respect though the D80 seems even better , subjectively .",better
284-18,nan,the D80,nan,"The D200 is similarly good in this respect though the D80 seems even better , subjectively .",worse
284-20,The D200,nan,most modes,"The D200 is still faster in most modes , but not by much .",better
284-20,nan,The D200,most modes,"The D200 is still faster in most modes , but not by much .",worse
284-25,D80,D200,high speed flash sync,"D80 and D200 have high speed flash sync up to the maximum supported by the camera ( 1/4000s and 1/8000s respectively ) when used with optional flashes such as the SB-800 or SB-600 ( may be with SB-400 , not sure ) .",same
284-25,D200,D80,high speed flash sync,"D80 and D200 have high speed flash sync up to the maximum supported by the camera ( 1/4000s and 1/8000s respectively ) when used with optional flashes such as the SB-800 or SB-600 ( may be with SB-400 , not sure ) .",same
284-27,nan,the D50,shoot in RAW,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",better
284-27,the D50,nan,shoot in RAW,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",worse
284-27,nan,the D50,store a Large Fine Quality JPG,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",better
284-27,the D50,nan,store a Large Fine Quality JPG,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",worse
284-27,nan,D40,shoot in RAW,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",better
284-27,D40,nan,shoot in RAW,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",worse
284-27,nan,D40,store a Large Fine Quality JPG,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",better
284-27,D40,nan,store a Large Fine Quality JPG,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",worse
284-27,nan,D70/70s,shoot in RAW,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",better
284-27,D70/70s,nan,shoot in RAW,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",worse
284-27,nan,D70/70s,store a Large Fine Quality JPG,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",better
284-27,D70/70s,nan,store a Large Fine Quality JPG,"Another welcome improvement over the D50 , D40 , D70/70s is the ability to shoot in RAW and store a Large Fine Quality JPG at the same time ( previously it was only `` basic '' JPG with low quality ) .",worse
284-29,the D40,nan,nan,"Again , the D40 , D50 , D70/70s do not offer this .",worse
284-29,nan,the D40,nan,"Again , the D40 , D50 , D70/70s do not offer this .",better
284-29,D50,nan,nan,"Again , the D40 , D50 , D70/70s do not offer this .",worse
284-29,nan,D50,nan,"Again , the D40 , D50 , D70/70s do not offer this .",better
284-29,D70/70s,nan,nan,"Again , the D40 , D50 , D70/70s do not offer this .",worse
284-29,nan,D70/70s,nan,"Again , the D40 , D50 , D70/70s do not offer this .",better
284-30,LCD,nan,use,The LCD is easier to use due to a slight rearranging of the controls as well .,better
284-30,nan,LCD,use,The LCD is easier to use due to a slight rearranging of the controls as well .,worse
284-35,D80,D70s,autofocus,"D80 has faster and more reliable autofocus than D70s , particularly in low light situations .",better
284-35,D70s,D80,autofocus,"D80 has faster and more reliable autofocus than D70s , particularly in low light situations .",worse
284-35,D80,D70s,autofocus,"D80 has faster and more reliable autofocus than D70s , particularly in low light situations .",better
284-35,D70s,D80,autofocus,"D80 has faster and more reliable autofocus than D70s , particularly in low light situations .",worse
284-36,it,the D70s,track running kids,"In my experience it was able to better track running kids , where I had trouble with this on the D70s in low light .",better
284-36,the D70s,it,track running kids,"In my experience it was able to better track running kids , where I had trouble with this on the D70s in low light .",worse
284-38,the D80,nan,autofocus sensors,One drawback is that the D80 has larger/wider autofocus sensors and this may result in misfocusing on complex targets where the D70/D50 might have worked better .,better
284-38,nan,the D80,autofocus sensors,One drawback is that the D80 has larger/wider autofocus sensors and this may result in misfocusing on complex targets where the D70/D50 might have worked better .,worse
284-38,the D80,the D70/D50,autofocus sensors,One drawback is that the D80 has larger/wider autofocus sensors and this may result in misfocusing on complex targets where the D70/D50 might have worked better .,worse
284-38,the D70/D50,the D80,autofocus sensors,One drawback is that the D80 has larger/wider autofocus sensors and this may result in misfocusing on complex targets where the D70/D50 might have worked better .,better
284-40,the D200,the D80,autofocus motor,"The D200 autofocus seems to perform similarly to the D80 , with some users reporting a stronger autofocus motor on the D200 , which is important if using `` screwdriven '' lenses without AF-S ( I have conclusion one way or another as I did not get a chance to compare too much for this ) .",better
284-40,the D80,the D200,autofocus motor,"The D200 autofocus seems to perform similarly to the D80 , with some users reporting a stronger autofocus motor on the D200 , which is important if using `` screwdriven '' lenses without AF-S ( I have conclusion one way or another as I did not get a chance to compare too much for this ) .",worse
284-40,The D200,the D80,autofocus,"The D200 autofocus seems to perform similarly to the D80 , with some users reporting a stronger autofocus motor on the D200 , which is important if using `` screwdriven '' lenses without AF-S ( I have conclusion one way or another as I did not get a chance to compare too much for this ) .",same
284-40,the D80,The D200,autofocus,"The D200 autofocus seems to perform similarly to the D80 , with some users reporting a stronger autofocus motor on the D200 , which is important if using `` screwdriven '' lenses without AF-S ( I have conclusion one way or another as I did not get a chance to compare too much for this ) .",same
284-41,The D80,D70,high-ISO noise,"The D80 seems to have taken noise reduction a step further than D70 and D200 with lower high-ISO noise ( when shooting in dark places ) , especially in the shadow areas where it matters most .",better
284-41,D70,The D80,high-ISO noise,"The D80 seems to have taken noise reduction a step further than D70 and D200 with lower high-ISO noise ( when shooting in dark places ) , especially in the shadow areas where it matters most .",worse
284-41,The D80,D200,high-ISO noise,"The D80 seems to have taken noise reduction a step further than D70 and D200 with lower high-ISO noise ( when shooting in dark places ) , especially in the shadow areas where it matters most .",better
284-41,D200,The D80,high-ISO noise,"The D80 seems to have taken noise reduction a step further than D70 and D200 with lower high-ISO noise ( when shooting in dark places ) , especially in the shadow areas where it matters most .",worse
284-41,The D80,D70,noise reduction,"The D80 seems to have taken noise reduction a step further than D70 and D200 with lower high-ISO noise ( when shooting in dark places ) , especially in the shadow areas where it matters most .",better
284-41,D70,The D80,noise reduction,"The D80 seems to have taken noise reduction a step further than D70 and D200 with lower high-ISO noise ( when shooting in dark places ) , especially in the shadow areas where it matters most .",worse
284-41,The D80,D200,noise reduction,"The D80 seems to have taken noise reduction a step further than D70 and D200 with lower high-ISO noise ( when shooting in dark places ) , especially in the shadow areas where it matters most .",better
284-41,D200,The D80,noise reduction,"The D80 seems to have taken noise reduction a step further than D70 and D200 with lower high-ISO noise ( when shooting in dark places ) , especially in the shadow areas where it matters most .",worse
284-42,D40,nan,nan,"D40 and D50 are still a little better bit for bit , but when the 10MP D80/D40x/D200 image is downsized to 6MP , then they perform about the same in terms of noise .",better
284-42,nan,D40,nan,"D40 and D50 are still a little better bit for bit , but when the 10MP D80/D40x/D200 image is downsized to 6MP , then they perform about the same in terms of noise .",worse
284-42,D50,nan,nan,"D40 and D50 are still a little better bit for bit , but when the 10MP D80/D40x/D200 image is downsized to 6MP , then they perform about the same in terms of noise .",better
284-42,nan,D50,nan,"D40 and D50 are still a little better bit for bit , but when the 10MP D80/D40x/D200 image is downsized to 6MP , then they perform about the same in terms of noise .",worse
284-42,they,they,noise,"D40 and D50 are still a little better bit for bit , but when the 10MP D80/D40x/D200 image is downsized to 6MP , then they perform about the same in terms of noise .",same
284-42,they,they,noise,"D40 and D50 are still a little better bit for bit , but when the 10MP D80/D40x/D200 image is downsized to 6MP , then they perform about the same in terms of noise .",same
284-43,D80,the D200,nan,"D80 seems to beat the D200 a little over ISO400 and seems to be about the same from ISO100 to ISO400 ( not a large difference but is there , especially when shooting JPG ) .",better
284-43,the D200,D80,nan,"D80 seems to beat the D200 a little over ISO400 and seems to be about the same from ISO100 to ISO400 ( not a large difference but is there , especially when shooting JPG ) .",worse
284-44,the same `` normal '' settings,D200,image,"D80 has different preset values for image customization than D200 , so the same `` normal '' settings give more saturate , more contrasty and perhaps more sharpened image .",better
284-44,D200,the same `` normal '' settings,image,"D80 has different preset values for image customization than D200 , so the same `` normal '' settings give more saturate , more contrasty and perhaps more sharpened image .",worse
284-44,the same `` normal '' settings,D200,image,"D80 has different preset values for image customization than D200 , so the same `` normal '' settings give more saturate , more contrasty and perhaps more sharpened image .",better
284-44,D200,the same `` normal '' settings,image,"D80 has different preset values for image customization than D200 , so the same `` normal '' settings give more saturate , more contrasty and perhaps more sharpened image .",worse
284-44,the same `` normal '' settings,D200,image,"D80 has different preset values for image customization than D200 , so the same `` normal '' settings give more saturate , more contrasty and perhaps more sharpened image .",better
284-44,D200,the same `` normal '' settings,image,"D80 has different preset values for image customization than D200 , so the same `` normal '' settings give more saturate , more contrasty and perhaps more sharpened image .",worse
284-59,the D40/40x,D50/80,autofocus,- The main difference b/w the D40/40x and D50/80 is the lack of `` screwdriver '' autofocus in the 40 series .,worse
284-59,D50/80,the D40/40x,autofocus,- The main difference b/w the D40/40x and D50/80 is the lack of `` screwdriver '' autofocus in the 40 series .,better
284-61,nan,D80/D200,viewfinders,"And that is not easy for several reasons ( relatively smaller and dimmer viewfinders compared to D80/D200 , plus tracking moving targets in manual focus is all but hopeless in most cases ) .",worse
284-61,D80/D200,nan,viewfinders,"And that is not easy for several reasons ( relatively smaller and dimmer viewfinders compared to D80/D200 , plus tracking moving targets in manual focus is all but hopeless in most cases ) .",better
284-61,nan,D80/D200,viewfinders,"And that is not easy for several reasons ( relatively smaller and dimmer viewfinders compared to D80/D200 , plus tracking moving targets in manual focus is all but hopeless in most cases ) .",worse
284-61,D80/D200,nan,viewfinders,"And that is not easy for several reasons ( relatively smaller and dimmer viewfinders compared to D80/D200 , plus tracking moving targets in manual focus is all but hopeless in most cases ) .",better
284-62,The 10MP models,nan,detail,- The 10MP models produce much better detail but you will see this only on prints above 11x14 or when cropping heavily .,better
284-62,nan,The 10MP models,detail,- The 10MP models produce much better detail but you will see this only on prints above 11x14 or when cropping heavily .,worse
284-64,each newer camera,nan,Noise,- Noise seems a tiny bit better with each newer camera .,better
284-64,nan,each newer camera,Noise,- Noise seems a tiny bit better with each newer camera .,worse
284-65,The D40,nan,noise,The D40 and D40x seem to have the lowest noise and the best JPG processing .,better
284-65,nan,The D40,noise,The D40 and D40x seem to have the lowest noise and the best JPG processing .,worse
284-65,D40x,nan,noise,The D40 and D40x seem to have the lowest noise and the best JPG processing .,better
284-65,nan,D40x,noise,The D40 and D40x seem to have the lowest noise and the best JPG processing .,worse
284-65,The D40,nan,JPG processing,The D40 and D40x seem to have the lowest noise and the best JPG processing .,better
284-65,nan,The D40,JPG processing,The D40 and D40x seem to have the lowest noise and the best JPG processing .,worse
284-65,D40x,nan,JPG processing,The D40 and D40x seem to have the lowest noise and the best JPG processing .,better
284-65,nan,D40x,JPG processing,The D40 and D40x seem to have the lowest noise and the best JPG processing .,worse
284-66,D50,nan,low light,"D50 and D40 are still the best for low light , followed by D40x , D80 and D200 as far as I 'm concerned .",better
284-66,nan,D50,low light,"D50 and D40 are still the best for low light , followed by D40x , D80 and D200 as far as I 'm concerned .",worse
284-66,D40,nan,low light,"D50 and D40 are still the best for low light , followed by D40x , D80 and D200 as far as I 'm concerned .",better
284-66,nan,D40,low light,"D50 and D40 are still the best for low light , followed by D40x , D80 and D200 as far as I 'm concerned .",worse
284-67,the Nikons,these Canons,results above ISO800,"Of course , looking at Canon 20D/30D and 5D is what you should do for serious low light work , as I find the results above ISO800 of the Nikons fall short compared to these Canons ( not by much but loss of detail and increased noise is progressively more noticeable when you go above ISO800 and print large and expecially if you do not nail the exposure right at the scene ) .",worse
284-67,these Canons,the Nikons,results above ISO800,"Of course , looking at Canon 20D/30D and 5D is what you should do for serious low light work , as I find the results above ISO800 of the Nikons fall short compared to these Canons ( not by much but loss of detail and increased noise is progressively more noticeable when you go above ISO800 and print large and expecially if you do not nail the exposure right at the scene ) .",better
284-68,the D80,the bunch,Viewfinders,- Viewfinders on the D80 and D200 are the best of the bunch .,better
284-68,the bunch,the D80,Viewfinders,- Viewfinders on the D80 and D200 are the best of the bunch .,worse
284-68,D200,the bunch,Viewfinders,- Viewfinders on the D80 and D200 are the best of the bunch .,better
284-68,the bunch,D200,Viewfinders,- Viewfinders on the D80 and D200 are the best of the bunch .,worse
284-70,it,nan,nan,- The D200 is more comfortable to hold even though it is heavier and larger - The D80/D40x/D200 will put your lenses as well as your hand-holding ability to the test - the 6MP models are more forgiving .,worse
284-70,nan,it,nan,- The D200 is more comfortable to hold even though it is heavier and larger - The D80/D40x/D200 will put your lenses as well as your hand-holding ability to the test - the 6MP models are more forgiving .,better
284-70,it,nan,nan,- The D200 is more comfortable to hold even though it is heavier and larger - The D80/D40x/D200 will put your lenses as well as your hand-holding ability to the test - the 6MP models are more forgiving .,worse
284-70,nan,it,nan,- The D200 is more comfortable to hold even though it is heavier and larger - The D80/D40x/D200 will put your lenses as well as your hand-holding ability to the test - the 6MP models are more forgiving .,better
284-70,The D200,nan,hold,- The D200 is more comfortable to hold even though it is heavier and larger - The D80/D40x/D200 will put your lenses as well as your hand-holding ability to the test - the 6MP models are more forgiving .,better
284-70,nan,The D200,hold,- The D200 is more comfortable to hold even though it is heavier and larger - The D80/D40x/D200 will put your lenses as well as your hand-holding ability to the test - the 6MP models are more forgiving .,worse
284-70,the 6MP models,nan,nan,- The D200 is more comfortable to hold even though it is heavier and larger - The D80/D40x/D200 will put your lenses as well as your hand-holding ability to the test - the 6MP models are more forgiving .,better
284-70,nan,the 6MP models,nan,- The D200 is more comfortable to hold even though it is heavier and larger - The D80/D40x/D200 will put your lenses as well as your hand-holding ability to the test - the 6MP models are more forgiving .,worse
284-73,D80,D70s,battery life,- D80 has worse battery life than D70s had for me ( almost by half ) .,worse
284-73,D70s,D80,battery life,- D80 has worse battery life than D70s had for me ( almost by half ) .,better
284-74,it,D200,nan,"Still it is better than what D200 offers , again almost by half .",better
284-74,D200,it,nan,"Still it is better than what D200 offers , again almost by half .",worse
284-75,The D50/D70s,nan,choice,- The D50/D70s are probably still the best choice if you can live without some of the great features that D80 offers .,better
284-75,nan,The D50/D70s,choice,- The D50/D70s are probably still the best choice if you can live without some of the great features that D80 offers .,worse
284-76,the D40,any manufacturer,nan,"- If you are only going to use AF-S lenses and want a small camera that is easy to live with , the D40 is the best from any manufacturer at present ( better than the Canons in the price range ) .",better
284-76,any manufacturer,the D40,nan,"- If you are only going to use AF-S lenses and want a small camera that is easy to live with , the D40 is the best from any manufacturer at present ( better than the Canons in the price range ) .",worse
284-76,the D40,the Canons,nan,"- If you are only going to use AF-S lenses and want a small camera that is easy to live with , the D40 is the best from any manufacturer at present ( better than the Canons in the price range ) .",better
284-76,the Canons,the D40,nan,"- If you are only going to use AF-S lenses and want a small camera that is easy to live with , the D40 is the best from any manufacturer at present ( better than the Canons in the price range ) .",worse
284-79,D40x,the D80,autofocus,"- D40x is an odd-ball : expensive for not having a screwdriver lens support and for lacking the better autofocus of the D80 and other fieatures ( deidcated buttons etc. ) Again , if you get a good deal on it and do not plan to use non AF-S lenses , it might be OK if 10MP is what you want with minimum fuss otherwise and in a very compact body .",worse
284-79,the D80,D40x,autofocus,"- D40x is an odd-ball : expensive for not having a screwdriver lens support and for lacking the better autofocus of the D80 and other fieatures ( deidcated buttons etc. ) Again , if you get a good deal on it and do not plan to use non AF-S lenses , it might be OK if 10MP is what you want with minimum fuss otherwise and in a very compact body .",better
284-8,the D80,the D70/D70s,almost every respect,The good : the D80 is a very capable camera and is a nice upgrade from the D70/D70s in almost every respect .,better
284-8,the D70/D70s,the D80,almost every respect,The good : the D80 is a very capable camera and is a nice upgrade from the D70/D70s in almost every respect .,worse
284-83,The 18-200 VR,nan,corners,The 18-200 VR is almost as sharp in the center and has better corners .,better
284-83,nan,The 18-200 VR,corners,The 18-200 VR is almost as sharp in the center and has better corners .,worse
284-83,The 18-200 VR,nan,nan,The 18-200 VR is almost as sharp in the center and has better corners .,same
284-83,nan,The 18-200 VR,nan,The 18-200 VR is almost as sharp in the center and has better corners .,same
284-84,The 18-70,nan,center,The 18-70 trails by a little in the center and leads by a little in the corners .,worse
284-84,nan,The 18-70,center,The 18-70 trails by a little in the center and leads by a little in the corners .,better
284-84,The 18-70,nan,corners,The 18-70 trails by a little in the center and leads by a little in the corners .,better
284-84,nan,The 18-70,corners,The 18-70 trails by a little in the center and leads by a little in the corners .,worse
284-85,above 100mm,below 100mm,sharpness,The 18-200 softens-up a little above 100mm focal length compared to the very good sharpness below 100mm but still remains usable .,worse
284-85,below 100mm,above 100mm,sharpness,The 18-200 softens-up a little above 100mm focal length compared to the very good sharpness below 100mm but still remains usable .,better
284-87,The 18-55,the other three,nan,The 18-55 is considered pretty good at the 18-35mm range and in my opinion is worse than the other three towards the 55 end .,worse
284-87,the other three,The 18-55,nan,The 18-55 is considered pretty good at the 18-35mm range and in my opinion is worse than the other three towards the 55 end .,better
284-89,the 18-55,nan,distortion,"18-135 is the worst , followed by 18-200 then the 18-70 and the 18-55 , which is the best in terms of distortion .",better
284-89,nan,the 18-55,distortion,"18-135 is the worst , followed by 18-200 then the 18-70 and the 18-55 , which is the best in terms of distortion .",worse
284-89,18-135,nan,nan,"18-135 is the worst , followed by 18-200 then the 18-70 and the 18-55 , which is the best in terms of distortion .",worse
284-89,nan,18-135,nan,"18-135 is the worst , followed by 18-200 then the 18-70 and the 18-55 , which is the best in terms of distortion .",better
284-93,all three,all three,focus,- Focus speed : all three focus silently and quick .,same
284-93,all three,all three,focus,- Focus speed : all three focus silently and quick .,same
284-94,The 18-70,nan,nan,"The 18-70 is the fasted , then the 18-200 then the 18-135 .",better
284-94,nan,The 18-70,nan,"The 18-70 is the fasted , then the 18-200 then the 18-135 .",worse
284-95,Neither,Neither,waiting,Neither will keep you waiting long .,same
284-95,Neither,Neither,waiting,Neither will keep you waiting long .,same
284-97,the 18-200,nan,Build quality,"- Build quality : Best is the 18-200 , 18-70 , 18-135 .",better
284-97,nan,the 18-200,Build quality,"- Build quality : Best is the 18-200 , 18-70 , 18-135 .",worse
284-97,18-70,nan,Build quality,"- Build quality : Best is the 18-200 , 18-70 , 18-135 .",better
284-97,nan,18-70,Build quality,"- Build quality : Best is the 18-200 , 18-70 , 18-135 .",worse
284-97,18-135,nan,Build quality,"- Build quality : Best is the 18-200 , 18-70 , 18-135 .",better
284-97,nan,18-135,Build quality,"- Build quality : Best is the 18-200 , 18-70 , 18-135 .",worse
286-8,point and shoot digital cameras,nan,pictures,I have point and shoot digital cameras that take more clearly focused pictures .,better
286-8,nan,point and shoot digital cameras,pictures,I have point and shoot digital cameras that take more clearly focused pictures .,worse
287-1,This,digital SLR cameras,nan,This is one of the finest digital SLR cameras on the market .,better
287-1,digital SLR cameras,This,nan,This is one of the finest digital SLR cameras on the market .,worse
289-112,nan,average,boot-up cycle,"The boot-up cycle , shutter lag , shot to shot times , and write to card times are all faster than average .",better
289-112,average,nan,boot-up cycle,"The boot-up cycle , shutter lag , shot to shot times , and write to card times are all faster than average .",worse
289-112,nan,average,shutter lag,"The boot-up cycle , shutter lag , shot to shot times , and write to card times are all faster than average .",better
289-112,average,nan,shutter lag,"The boot-up cycle , shutter lag , shot to shot times , and write to card times are all faster than average .",worse
289-112,nan,average,shot to shot times,"The boot-up cycle , shutter lag , shot to shot times , and write to card times are all faster than average .",better
289-112,average,nan,shot to shot times,"The boot-up cycle , shutter lag , shot to shot times , and write to card times are all faster than average .",worse
289-112,nan,average,write to card times,"The boot-up cycle , shutter lag , shot to shot times , and write to card times are all faster than average .",better
289-112,average,nan,write to card times,"The boot-up cycle , shutter lag , shot to shot times , and write to card times are all faster than average .",worse
289-116,The SD600,all ultra-compact digicams,red-eye issues,The SD600 ( like all ultra-compact digicams ) has red-eye issues .,same
289-116,all ultra-compact digicams,The SD600,red-eye issues,The SD600 ( like all ultra-compact digicams ) has red-eye issues .,same
289-39,Micro-cam batteries,larger batteries,power,Realistically Micro-cam batteries ( since they must be very small ) ca n't store as much power as larger batteries .,worse
289-39,larger batteries,Micro-cam batteries,power,Realistically Micro-cam batteries ( since they must be very small ) ca n't store as much power as larger batteries .,better
289-49,images,average,nan,The SD600 's auto exposure system does more than just average exposures - images are consistently and noticeably better than average .,better
289-49,average,images,nan,The SD600 's auto exposure system does more than just average exposures - images are consistently and noticeably better than average .,worse
289-62,its siblings,the Canon PowerShot SD600,range of sensitivity settings,"Sensitivity Like its siblings ( SD700 IS , SD630 , etc ) the Canon PowerShot SD600 provides an excellent range of sensitivity settings including - Auto , High ISO Auto , and user selectable settings for 80 , 100 , 200 , 400 , and 800 ISO .",same
289-62,the Canon PowerShot SD600,its siblings,range of sensitivity settings,"Sensitivity Like its siblings ( SD700 IS , SD630 , etc ) the Canon PowerShot SD600 provides an excellent range of sensitivity settings including - Auto , High ISO Auto , and user selectable settings for 80 , 100 , 200 , 400 , and 800 ISO .",same
290-3,The SD450,the SD550,looked,The SD450 was smaller and I liked the way it looked better than the SD550 .,better
290-3,the SD550,The SD450,looked,The SD450 was smaller and I liked the way it looked better than the SD550 .,worse
290-3,The SD450,the SD550,nan,The SD450 was smaller and I liked the way it looked better than the SD550 .,better
290-3,the SD550,The SD450,nan,The SD450 was smaller and I liked the way it looked better than the SD550 .,worse
291-107,it,nan,nan,"Sometimes , Dell sells it even cheaper with their coupon programs ( search google for Dell coupons , SanDisk ) .",better
291-107,nan,it,nan,"Sometimes , Dell sells it even cheaper with their coupon programs ( search google for Dell coupons , SanDisk ) .",worse
291-108,it,a thick stamp,size,"The Secure Digital memory cards are so small , it 's about the size of a thick stamp .",same
291-108,a thick stamp,it,size,"The Secure Digital memory cards are so small , it 's about the size of a thick stamp .",same
291-11,the Ricoh Caplio,the Canon SD600,resolution,"You could also buy the Ricoh Caplio R4 , which shoots at 6 megapixels but has 7.1 X zoom , but you will not get the resolution and color saturation like the Canon SD600 , not to mention the beautiful styling of the Canon as well .",worse
291-11,the Canon SD600,the Ricoh Caplio,resolution,"You could also buy the Ricoh Caplio R4 , which shoots at 6 megapixels but has 7.1 X zoom , but you will not get the resolution and color saturation like the Canon SD600 , not to mention the beautiful styling of the Canon as well .",better
291-11,the Ricoh Caplio,the Canon SD600,color saturation,"You could also buy the Ricoh Caplio R4 , which shoots at 6 megapixels but has 7.1 X zoom , but you will not get the resolution and color saturation like the Canon SD600 , not to mention the beautiful styling of the Canon as well .",worse
291-11,the Canon SD600,the Ricoh Caplio,color saturation,"You could also buy the Ricoh Caplio R4 , which shoots at 6 megapixels but has 7.1 X zoom , but you will not get the resolution and color saturation like the Canon SD600 , not to mention the beautiful styling of the Canon as well .",better
291-115,USB 2.0,the previous version of USB,nan,USB 2.0 is 57 times FASTER than the previous version of USB .,better
291-115,the previous version of USB,USB 2.0,nan,USB 2.0 is 57 times FASTER than the previous version of USB .,worse
291-116,USB 2.0,firewire,nan,USB 2.0 is actually faster than firewire by a slight margin .,better
291-116,firewire,USB 2.0,nan,USB 2.0 is actually faster than firewire by a slight margin .,worse
291-120,the Canon PowerShot SD600,the competition,nan,Most new moms and dads will love the Canon PowerShot SD600 over the competition because of this feature .,better
291-120,the competition,the Canon PowerShot SD600,nan,Most new moms and dads will love the Canon PowerShot SD600 over the competition because of this feature .,worse
291-124,Canon EOS line,nan,nan,"This processor is in the more expensive Canon EOS line as well , such as the Canon 1Ds Mark II , which is about $ 7000 .",better
291-124,nan,Canon EOS line,nan,"This processor is in the more expensive Canon EOS line as well , such as the Canon 1Ds Mark II , which is about $ 7000 .",worse
291-135,the battery,other Ultra-Compacts,nan,"Do n't take me wrong , I think the battery is decent , but not as great as other Ultra-Compacts , such as the Sony DCS-T33 .",worse
291-135,other Ultra-Compacts,the battery,nan,"Do n't take me wrong , I think the battery is decent , but not as great as other Ultra-Compacts , such as the Sony DCS-T33 .",better
291-145,they,the Canon SD600,nan,"Well , they do n't even come close to the Canon SD600 .",worse
291-145,the Canon SD600,they,nan,"Well , they do n't even come close to the Canon SD600 .",better
291-20,this camera,the SD400,20 dollars,"With the money from selling the SD400 , I purchased this camera for $ 245 , about a 20 dollars less than I paid for the SD400 .",better
291-20,the SD400,this camera,20 dollars,"With the money from selling the SD400 , I purchased this camera for $ 245 , about a 20 dollars less than I paid for the SD400 .",worse
291-27,the SD450,the Canon Rebel XT,cost,"Unfortunately , the Rebel XT only sports a 1.8 inch screen , which is to say that the SD450 , a point and shoot that 's half the cost of the Canon Rebel XT , possesses better hardware than the higher grade SLR ( single lens reflex ) camera .",better
291-27,the Canon Rebel XT,the SD450,cost,"Unfortunately , the Rebel XT only sports a 1.8 inch screen , which is to say that the SD450 , a point and shoot that 's half the cost of the Canon Rebel XT , possesses better hardware than the higher grade SLR ( single lens reflex ) camera .",worse
291-27,the SD450,the higher grade SLR,hardware,"Unfortunately , the Rebel XT only sports a 1.8 inch screen , which is to say that the SD450 , a point and shoot that 's half the cost of the Canon Rebel XT , possesses better hardware than the higher grade SLR ( single lens reflex ) camera .",better
291-27,the higher grade SLR,the SD450,hardware,"Unfortunately , the Rebel XT only sports a 1.8 inch screen , which is to say that the SD450 , a point and shoot that 's half the cost of the Canon Rebel XT , possesses better hardware than the higher grade SLR ( single lens reflex ) camera .",worse
291-30,The SD400,this camera,dimension,The SD400 is the exact dimension as this camera besides the 2.5 inch screen .,same
291-30,this camera,The SD400,dimension,The SD400 is the exact dimension as this camera besides the 2.5 inch screen .,same
291-31,these two cameras,these two cameras,construction,The construction of these two cameras are incredible .,same
291-31,these two cameras,these two cameras,construction,The construction of these two cameras are incredible .,same
291-32,They,tanks,built,They 're built like tanks with solid metal .,same
291-32,tanks,They,built,They 're built like tanks with solid metal .,same
291-43,It,the Canon alternative,looks,It also looks much better than what the Canon alternative can provide you .,better
291-43,the Canon alternative,It,looks,It also looks much better than what the Canon alternative can provide you .,worse
291-46,It,some other Ultra Compacts,nan,"It feels solid in your hands versus some other Ultra Compacts such as the Nikon Coolpix 5200 , whose outer covering is made out of chinsy plastic .",better
